BV号：BV1DeXUYbEjB
标题：BV1DeXUYbEjB
链接：https://www.bilibili.com/video/BV1DeXUYbEjB
识别语言：zh
语言置信度：1
分段数：667
生成时间：2026-08-30 12:35:45

[00:00:00 - 00:00:03] R1,KIMI K1.5等技術的解读
[00:00:03 - 00:00:06] 也是对之前O1解读的一个叙作
[00:22:33 - 00:22:36] 其实我们JRPU还可以引入一些额外的优化策略
[00:22:36 - 00:22:39] 那从而去提升训练稳定性
[00:22:39 - 00:22:40] 那在这里呢
[00:22:40 - 00:22:41] 我们进一步讲点一下
[00:22:41 - 00:22:43] 如何从PBO推到到JRPU
[00:22:43 - 00:22:44] 那其中PBO
[00:22:44 - 00:22:45] 呃
[00:22:45 - 00:22:47] 他作为Actor Critic的算法
[00:22:47 - 00:22:48] 也是被广泛运用于后续练
[00:22:48 - 00:22:51] 他核心目标也就是优化下面这个
[00:22:51 - 00:22:52] 奖励函数
[00:22:52 - 00:22:53] 那其中呢
[00:22:53 - 00:22:57] 这个PyCata和PyCataO的分别表示的是
[00:22:57 - 00:23:00] 当前模型和旧策略的模型
[00:23:00 - 00:23:10] Q和Outcom,就是Output是从问题数据级和旧策略的PyCtoEU中采用的输入和输出
[00:23:10 - 00:23:14] 其中AT也就是基于JAE,就是计算的优势值
[00:23:14 - 00:23:17] 它是依赖于奖励序列和学习的价值函数的
[00:23:17 - 00:23:21] PBO它是需要同时去训练这个策略模型
[00:23:21 - 00:23:26] 和用于计算优势AT的价值函数
[00:23:26 - 00:23:28] 为了避免模型的过得优化
[00:23:28 - 00:23:32] 我们通常会在每个词源的后面
[00:23:32 - 00:23:34] 加上一个与Reference Model
[00:23:34 - 00:23:37] 也就是参考模型的一个KL场法项
[00:23:38 - 00:23:42] PBO的奖励还是通常是与策历模型
[00:23:42 - 00:23:44] 规模相当的独立模型
[00:23:44 - 00:23:45] 也就是Creating Model
[00:23:45 - 00:23:49] 这会带来非常大的内存和计算的增加
[00:23:49 - 00:23:50] 与此同时第二个问题
[00:23:50 - 00:23:53] 也是奖励模型通常它要对输出序列的
[00:23:53 - 00:23:55] 最后一个词源去分配奖励
[00:23:55 - 00:24:00] 那导致他主Token的价值函数的训练是会不断复杂化的
[00:24:00 - 00:24:03] 那JRPU其实如右下图所示
[00:24:04 - 00:24:08] 我们其实在JRPU中是省略了这个Value Model的过程
[00:24:08 - 00:24:11] 也就是我们不用去估算这个Ve来计算这一e
[00:24:12 - 00:24:13] 那我们可以直接利用一个
[00:24:14 - 00:24:21] 我们可以利用多个Output去计算一个大Gateboard
[00:24:21 - 00:24:25] 然后利用大Gateboard在组内进行一个相对值的估计
[00:24:25 - 00:24:27] 来获得一组优势值
[00:24:27 - 00:24:31] 我们相应的优化的策略就变成了
[00:24:32 - 00:24:36] 对于这整个优势值包括原来Puo的
[00:24:36 - 00:24:39] 再来函数目标函数改变过来
[00:24:39 - 00:24:41] 直接进行优化
[00:24:41 - 00:24:45] 不会将包括KL散度的惩罚项
[00:24:45 - 00:24:47] 它不会直接夹到奖励里面
[00:24:47 - 00:24:49] 而是直接夹到策略函数优化的
[00:24:49 - 00:24:51] 目标函数里面
[00:24:51 - 00:24:56] 那這也是簡化了這整個AT的過程的這個計算
[00:24:56 - 00:25:00] 那它和獎勵模型的對比性質其實是天然氣和的
[00:25:00 - 00:25:04] 因為獎勵模型本身也是基於同一個問題的輸出進行
[00:25:04 - 00:25:06] 一個preference的比較訓練
[00:25:06 - 00:25:12] 那JRPO是在計算組內優勢值的時候進行一個相對值的計算
[00:25:12 - 00:25:16] 那其實它能夠提升組內好回答的比例
[00:25:16 - 00:25:17] 降低組內壞回答的比例
[00:25:17 - 00:25:20] 那其實天然是具有這個相對優勢的
[00:25:21 - 00:25:26] 那JRPU它其实分为两种,第一个是基于结构的,第二是基于过程的
[00:25:26 - 00:25:29] 那对于基于结构的话其实和PBO一样
[00:25:29 - 00:25:32] 那其实对于每个问题可以采用一系列的输出
[00:25:32 - 00:25:36] 那蒋云模型去为这一系列的输出去升长奖励
[00:25:36 - 00:25:40] 那么随后去通过进行一个Normalization也就是进行规律化
[00:25:40 - 00:25:45] 然后把这个规律化后的奖励去分配给每个输出的莫韦的Token
[00:25:45 - 00:25:47] 然后去设为对你的Reward就可以了
[00:25:47 - 00:25:49] 那其实它的贝拉式就是这样的
[00:25:49 - 00:25:53] 那相当于传统的优势值计算是非常简化的
[00:25:53 - 00:25:57] 那进一步呢其实也可以把GRIPU困染到基于过程的监督下
[00:25:57 - 00:26:01] 那因为是结果监督呢它是仅提供输出末尾的奖励
[00:26:01 - 00:26:04] 那对于复杂数学任务的策略指导是不足的
[00:26:04 - 00:26:09] 那进一步我们可以对于一个问题去产量多个输出
[00:26:09 - 00:26:14] 那过我们利用过程奖励模型去为每个步骤去生成奖励
[00:26:14 - 00:26:21] 比如生成從RE index1到RE indexk1的一系列的獎勵的信號
[00:26:21 - 00:26:22] 優勢歸一化之後
[00:26:22 - 00:26:26] 優勢指為最後獎勵信號一個逐步的累加合
[00:26:26 - 00:26:30] 那其實它作為一個共產性度的算法也是非常方便的
[00:26:31 - 00:26:34] 那第二個
[00:26:34 - 00:26:38] 這是對Deep CityRE的Tickwaste的第二部分總結
[00:26:38 - 00:26:42] 那RE接用它其實節省了大量的標準成本
[00:26:42 - 00:26:46] 那么使魔鞋获得了更加自由的探索解决问题的路径
[00:26:46 - 00:26:49] 它不会被预先设定的模式所束缚
[00:26:49 - 00:26:53] 那为了统分的去释放强化学习的潜力
[00:26:53 - 00:27:00] 同时去解决像RE接要中出现的语言混杂以及训练不稳定的等特性
[00:27:00 - 00:27:05] 那DPGRE的训练中采用了四阶段交替训练的过程
[00:27:05 - 00:27:12] 那是从监督微调到强化学习再到再次的监督微调以及强化学习圈
[00:27:12 - 00:27:16] 通過冷啟動來解決了一些收斂效率的問題
[00:27:16 - 00:27:22] 那Deep Seeker R1也是自主湧現了像自驗證、反思和長鏈推理的能力
[00:27:22 - 00:27:25] 比如自驗證它會一個模型在形容中的答案之前
[00:27:25 - 00:27:28] 會主動的驗證自己的中間推理步驟是不是正確的
[00:27:28 - 00:27:34] 就像是一個學生在做題的過程中會反覆檢查自己的解體過程
[00:27:34 - 00:27:35] 來確保答案的準確性
[00:27:35 - 00:27:39] 反思是指模型會回速檢查自己之前的推理過程
[00:27:39 - 00:27:41] 並根據檢查的結果進行修正
[00:27:41 - 00:27:44] 相当于一个学生在复习的时候会反自自己之前的错误
[00:27:44 - 00:27:46] 以便下次不再犯同样的错误
[00:27:46 - 00:27:50] 而常链推理能力则是让模型能够处理复杂
[00:27:50 - 00:27:52] 更需要多步骤思考的问题
[00:27:52 - 00:27:56] 就有能力对于解决一些个需要跨越多个
[00:27:56 - 00:27:59] 逻辑步骤成长找答案的问题至关重要
[00:27:59 - 00:28:01] 例如复杂的数学题或者逻辑媒体
[00:28:01 - 00:28:06] 能启动的也能够让强化学系的训练更加稳定
[00:28:06 - 00:28:11] 比如加强它的首脸线以及提高模型数数的可读性
[00:28:11 - 00:28:15] 其中其实展现出了几个比较关键的技术
[00:28:15 - 00:28:17] 比如说退略为众性的传辑学业信念
[00:28:17 - 00:28:19] 其中就是语言一致性奖励
[00:28:19 - 00:28:21] 以及多么的多么的优化
[00:28:21 - 00:28:25] 还有JRPO以及是基于群子的相对策略优化
[00:28:25 - 00:28:27] 这样一个非常关键的技术
[00:28:27 - 00:28:30] 在讲理机制的设计上其实也是比较重要的
[00:28:30 - 00:28:32] 因为既要兼顾一个吞吏能力
[00:28:32 - 00:28:37] 就是通过准确定奖励和格式奖励来去进行限制
[00:28:37 - 00:28:40] 也要引入一个语言一致性想力
[00:28:40 - 00:28:42] 从而惩罚在推理过程中
[00:28:42 - 00:28:44] 使用多重语言输出的这么一个现象
[00:28:44 - 00:28:46] 从而去鼓励模型
[00:28:46 - 00:28:49] 尽可能去使用一种目标语言进行推理
[00:28:49 - 00:28:52] 来保证模型输出的语言风格的一致性
[00:28:54 - 00:28:57] DPC-R1其实也带来了很强的社会和经济效益
[00:28:57 - 00:29:01] 背后其实是第一个是一个低成本和高质量语言模型
[00:29:01 - 00:29:02] 避免的探索
[00:29:02 - 00:29:06] 我们其实整个大原模型泛滥过程
[00:29:06 - 00:29:08] 它的擴展率最初是模型的規模
[00:29:08 - 00:29:10] 然后是数据局的規模
[00:29:10 - 00:29:13] 现在是推立时的计算资源和合成数据
[00:29:13 - 00:29:17] 这意味着Deepsegare1其实能够更方便的整合到
[00:29:17 - 00:29:24] 像AI4Science 也就是计算科学以及一些大规模的API应用中
[00:29:24 - 00:29:27] 通过也就是全球领域和很像的拓展
[00:29:27 - 00:29:29] 比如说引入RIG的技术等等
[00:29:29 - 00:29:31] 这其实都是非常方便的
[00:29:31 - 00:29:33] 当然也带来一些经济效应
[00:29:33 - 00:29:35] 比如说资本是闯道剧烈波动
[00:29:35 - 00:29:40] 包括想研发投入和数据中心的建设成本集赠
[00:29:40 - 00:29:43] 其实背后也是算力军备军赛的一个循环
[00:29:44 - 00:29:46] 其实随着模型使用方案的平民灵化
[00:29:46 - 00:29:49] 资源也是能够得到有效的优化
[00:29:49 - 00:29:54] 从而能够在有限的算力资源制度下突破算法的创新
[00:29:54 - 00:29:56] 然后突破算力的限制
[00:29:58 - 00:30:02] 与Deepseq R1同时系列出现的其实还有Kmk1.5
[00:30:02 - 00:30:06] 我们在这里也是先对KIMI K1.5的技术进行一个简单的讲解
[00:30:06 - 00:30:11] 然后去对比和分析这两个模型它采用的技术背后
[00:30:11 - 00:30:13] 是不是有什么可取之处
[00:30:13 - 00:30:18] 以及和我们推测和社区的一些其他负贬结果的一个对比
[00:30:18 - 00:30:23] KIMI K1.5其实和KIMI系列的模型其实是一样
[00:30:23 - 00:30:27] 它是都是想要用长文本来解决一些问题
[00:30:27 - 00:30:31] 比如说KIMI K1.5其实专注于利用长文本的COT输出
[00:30:31 - 00:30:34] 来解决推理式的扩展问题
[00:30:34 - 00:30:38] 那它的核心节就是通过强化学习来让模型去失措
[00:30:38 - 00:30:40] 来解决问题的能力
[00:30:40 - 00:30:46] 那长安本的将它通过将强化学习的优化方式进行一个修改
[00:30:46 - 00:30:48] 来应用与长安本推理链生成的过程
[00:30:49 - 00:30:52] 长安本是启发模型进行更深入更复杂的推理
[00:30:52 - 00:30:59] 那其实和GRPU的采用由回答不同
[00:30:59 - 00:31:04] 他们想的基础其实是一个Rainforce系列的一个算法的变形
[00:31:04 - 00:31:12] 其实K-Ming一直关注的就是成文本能力的破绽
[00:31:12 - 00:31:16] 其实核心的insights也就是成文本能力是强化学习训练语言模型的关键
[00:31:16 - 00:31:19] 而不是需要一些更复杂的训练技巧
[00:31:19 - 00:31:26] 其中他们还有一个更Interesting的地方是成文本到短文本的一个破绽
[00:31:26 - 00:31:30] 那通过潮温本的四维链模型来直到动物本模型的训练
[00:31:30 - 00:31:34] 潮温能够在有限的机场资源下去获得更好的性能
[00:31:34 - 00:31:38] 那我们可以看到它在一些数学推理
[00:31:38 - 00:31:39] 代码推理的任务
[00:31:39 - 00:31:41] 包括视觉推理的任务上
[00:31:41 - 00:31:45] 其实都超过一些开源的模型和Open add的系列模型
[00:31:46 - 00:31:50] 那至于来说KIMIK-1.5的过程是分为四阶段
[00:31:50 - 00:31:51] 第一是预讯阶段
[00:31:51 - 00:31:53] 然后接下来监督微调
[00:31:53 - 00:31:57] 进一步为了扩展它的长文字脸特律能力
[00:31:57 - 00:32:00] 进行了Long COT的进度微调
[00:32:00 - 00:32:03] 进行了强化学习的训练
[00:32:03 - 00:32:05] 这里边也采用了一些
[00:32:05 - 00:32:09] 餐饮的一些recipe一些技巧
[00:32:09 - 00:32:12] 其实也是在这里可以一块分享给大家
[00:32:12 - 00:32:15] 那水源是对于ARL问题的准备
[00:32:15 - 00:32:18] 这其实也是社区附近的一些
[00:32:18 - 00:32:19] 公众的技巧
[00:32:19 - 00:32:23] 比如说希望ARL的Prompt能够涵盖
[00:32:23 - 00:32:29] 比如说包括代码,coding,通用任务以及一些旅工课问题的数据
[00:32:29 - 00:32:33] 同时RL性能也要去balance不同的难度
[00:32:33 - 00:32:36] 从而达到一个从一到难,客人学习的效果
[00:32:36 - 00:32:40] 同时这些RL Prompt向顺序代码问题
[00:32:40 - 00:32:43] 它最好是能够被一些virus准确的评价
[00:32:43 - 00:32:47] 这可以防止泛滑出一些像减力攻陷
[00:32:47 - 00:32:50] 以及一些superfacial patterns
[00:32:50 - 00:32:54] 那些是一些服役表面的一些表征的这样一个行为
[00:32:54 - 00:32:55] 那进一步呢
[00:32:55 - 00:32:57] 在long-cot的京东微调工程中
[00:32:57 - 00:33:01] 他们是构造了这么一个 warm-up的数据
[00:33:01 - 00:33:03] 那形容包括一些比较准确的
[00:33:03 - 00:33:06] 推理路径去follow这个图文的输入
[00:33:06 - 00:33:12] 那也是涵盖了一些planning啊评价呀反思以及探索的范式
[00:33:12 - 00:33:16] 然后从而让模型或在二娃势的过程前
[00:33:16 - 00:33:18] 就獲得這樣一個比較好的啟動的方式
[00:33:19 - 00:33:21] 那從強化學習
[00:33:21 - 00:33:23] 那Kimikidemu其實
[00:33:23 - 00:33:23] 嗯
[00:33:24 - 00:33:28] 跟我去的是說他們是從一個in-contact R的角度出發
[00:33:28 - 00:33:29] 也就是
[00:33:29 - 00:33:33] 我們傳統在MCTS過程中和包括一些搜索過程中
[00:33:33 - 00:33:36] 其實都是一個KB視為一個planning
[00:33:36 - 00:33:37] 也就是規劃的過程
[00:33:38 - 00:33:41] 那我們與其通過規劃來
[00:33:41 - 00:33:43] 使得模型顯示的去擴展計算量
[00:33:43 - 00:33:47] 为什么不能用模型去模拟这个planning过程呢
[00:33:47 - 00:33:49] 比如说其实在整个soto的过程中
[00:33:49 - 00:33:50] 我们可以将每个state
[00:33:50 - 00:33:55] 也就是每个状态和对应状态的价值都视为一个long-grid-token
[00:33:55 - 00:33:57] 那从这样的角度出发
[00:33:57 - 00:34:02] 我们其实就可以把它建模成一个contextual bandit这么一个问题
[00:34:02 - 00:34:06] 然后从而利用这个reinforce的变种进行优化
[00:34:06 - 00:34:07] 那于此同时呢我们
[00:34:07 - 00:34:12] 于此同时其实kmmk.com我还需要引入一个长度敞烂机制
[00:34:12 - 00:34:15] 从而防止模型它去生成过程的特例过程
[00:34:15 - 00:34:17] 来提高它的计算效率
[00:34:17 - 00:34:21] 其实模型也会出现这样一种 over-syncing
[00:34:21 - 00:34:22] 也就是孤独思考的行为
[00:34:22 - 00:34:25] over-syncing的孤独思考的行为
[00:34:25 - 00:34:28] 其实可能会导致一个更好的表现
[00:34:28 - 00:34:31] 但是会带来训练和特例过程中
[00:34:31 - 00:34:32] 更大的算力的损耗
[00:34:33 - 00:34:34] 与此同时
[00:34:34 - 00:34:37] k.5也用了一些采样策略优化
[00:34:37 - 00:34:40] 其中包括这个客能学习和优先采样的算法
[00:34:40 - 00:34:42] 由科学学也就是根据问题的难度
[00:34:42 - 00:34:45] 让模型去先学容易的例子
[00:34:45 - 00:34:47] 然后再主步引入更难的例子
[00:34:47 - 00:34:49] 从而循序渐进的去掌握知识
[00:34:49 - 00:34:51] 那优先采样也就是
[00:34:51 - 00:34:55] 根据难度和对于问题的掌握程度来调整采样概率
[00:34:55 - 00:34:58] 使模型更倾向于去采样那些困难的
[00:34:58 - 00:35:00] 或者不擅长的问题
[00:35:00 - 00:35:01] 来提高它的训练的效率
[00:35:01 - 00:35:04] 那长度惩罚其实也就是采样
[00:35:04 - 00:35:07] 像下面这个公式所示的
[00:35:07 - 00:35:09] 我们采样一组这样一个回答
[00:35:09 - 00:35:13] 然后通过计算组内的最大长度和最短长度
[00:35:13 - 00:35:16] 来计算平均长度作为一个reference值
[00:35:17 - 00:35:20] 第二个就是测量优化的算是函数
[00:35:20 - 00:35:24] 也就是我们直接其实可以采用一个Rainforce的变因种
[00:35:24 - 00:35:26] 去优化這個Sarget Loss
[00:35:28 - 00:35:32] 其中Kimik.5还采用了一些数据的构建
[00:35:32 - 00:35:35] 包括像真实世界的数据
[00:35:35 - 00:35:40] 其中就包括一些位置的猜测然后传统的vqa
[00:35:40 - 00:35:44] 那其实它是为了提升模型在真实场景中的视觉推理能力
[00:35:44 - 00:35:46] 第二个是合成视觉推理数据
[00:35:46 - 00:35:48] 也就是它是一个人工合成的
[00:35:48 - 00:35:57] 比如说去提高主要是提高一个空间关系集合模式和物体交互的这么一个能力
[00:35:57 - 00:36:00] 那这些合成数据提供了一个可控的环境
[00:36:00 - 00:36:02] 由于测试模型的视觉可以能力
[00:36:02 - 00:36:04] 并且可以去无线生产一个训练样本
[00:36:04 - 00:36:07] 第三个就是采用的文本渲染数据
[00:36:07 - 00:36:10] 通过将文本内容转换为视觉格式
[00:36:10 - 00:36:16] 来从而保证模型能够在不同模态下保持一致的文本处理的能力
[00:36:16 - 00:36:20] 那其实就是将比如说一些OCR的技巧
[00:36:20 - 00:36:25] 将这个文本的文档和代码的片段转换为图像
[00:36:25 - 00:36:27] 来确保模型无论接受了是纯文本输入
[00:36:27 - 00:36:31] 还是截图或者照片中的文本都能够提供一致的respons
[00:36:31 - 00:36:36] 那Kimi K.5还展现出来一个比较优秀的方法
[00:36:36 - 00:36:39] 也就是long to short长到短的这么一个拯救
[00:36:39 - 00:36:44] 那它其实背后想要解决的其实是模型的一个过渡思考
[00:36:44 - 00:36:47] 以及我们的不能采用进行一个算力的控制
[00:36:47 - 00:36:52] 也就是采用更短的思维链达到和长思维链相同的效果
[00:36:52 - 00:36:56] 那其实Kimi探究了这么几个方法
[00:36:56 - 00:36:58] 那首先是模型的融合
[00:36:58 - 00:37:03] 比如说将超温本的四个链模型和短文的所有链模型的全中进行平均
[00:37:03 - 00:37:04] 从而得到一个新的模型
[00:37:04 - 00:37:07] 那第二个是这个剧短的
[00:37:07 - 00:37:08] 剧短剧绝采样
[00:37:08 - 00:37:12] 也就是在多个采样中选择一个最短并且
