BV号：BV1gNrzYMEj2
标题：BV1gNrzYMEj2
链接：https://www.bilibili.com/video/BV1gNrzYMEj2
识别语言：zh
语言置信度：1
分段数：493
生成时间：2026-08-30 20:30:53

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近在北京大学光华管理学院
[00:16:04 - 00:16:06] 巴菲特演讲的时候
[00:16:06 - 00:16:07] 就决定要从事这个行业
[00:16:07 - 00:16:10] 因为巴菲特解答的就是这个问题
[00:16:10 - 00:16:14] 也就是自己一直對道德和社會正義比對賺錢更有興趣
[00:16:14 - 00:16:15] 年輕的時候尤其如此
[00:16:15 - 00:16:17] 他最早理解的華爾街股市
[00:16:17 - 00:16:20] 就像日出裡描繪的那些腳炸的計程重
[00:16:20 - 00:16:23] 暗箱操作 秘密勾結 令人彼一
[00:16:23 - 00:16:24] 而巴菲特讓他明白
[00:16:24 - 00:16:26] 價值投資的本質是雙贏
[00:16:26 - 00:16:29] 投資人其實是公司成長很重要的一環
[00:16:29 - 00:16:33] 一個真正有生育的 有信用的公共市場投資人
[00:16:33 - 00:16:36] 長期對公司的背書會起到同樣重要的作用
[00:16:36 - 00:16:38] 而且公共公司的存在
[00:16:38 - 00:16:40] 对于把储蓄转化为有效的社会资源
[00:16:40 - 00:16:43] 对于这些公司能够成长起来至关重要
[00:16:43 - 00:16:46] 这是我们整个现代经济能够进入到自生性的
[00:16:46 - 00:16:49] 可持续的长期增长的最重要的一环
[00:16:49 - 00:16:52] 所以每一个链条上的人都发挥着极其重要的作用
[00:16:52 - 00:16:54] 好了 以上就是对李鹿这次演讲
[00:16:54 - 00:16:56] 精华内容的总结了
[00:16:56 - 00:16:58] 希望能够给大家带来一点点的启发和灵感
[00:16:58 - 00:17:01] 感谢大家观看 我们下期再见
