BV号：BV1AdH9zcEcU
标题：BV1AdH9zcEcU
链接：https://www.bilibili.com/video/BV1AdH9zcEcU
识别语言：zh
语言置信度：1
分段数：1243
生成时间：2026-08-29 23:49:51

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ。
[00:20:46 - 00:20:49] 因为达到网络产品则更加激进
[00:20:49 - 00:20:51] 他们带来了ConnectX 8 SuperNICI
[00:20:51 - 00:20:54] 这是一款PCIE Gen6网卡
[00:20:54 - 00:20:56] 最高速率达到800GB每秒
[00:20:56 - 00:20:58] 有48个PCIE Gen6通道
[00:20:58 - 00:21:01] 是目前速率最高的网卡之一
[00:21:01 - 00:21:03] ConnectX8的设计很灵活
[00:21:03 - 00:21:05] 既支持SpectrumX以太网
[00:21:05 - 00:21:07] 又支持QuantumX Infiniband
[00:21:08 - 00:21:09] 以太网成本低
[00:21:09 - 00:21:10] 兼容性强
[00:21:10 - 00:21:11] Infiniband延迟低
[00:21:11 - 00:21:12] 性能高
[00:21:12 - 00:21:14] 用户可以根据需求选
[00:21:14 - 00:21:15] 不用换网卡
[00:21:16 - 00:21:18] 为什么需要这么高的速率呢
[00:21:18 - 00:21:19] 因为现在数据中心
[00:21:19 - 00:21:20] 已经从单服物器计算
[00:21:20 - 00:21:22] 变成了集群计算
[00:21:22 - 00:21:23] GPU需要和集群里的
[00:21:23 - 00:21:26] 其他GPU、CPU存储快速通信
[00:21:26 - 00:21:28] 速率低了根本满足不了
[00:21:29 - 00:21:30] ConnectX8的首个部署
[00:21:30 - 00:21:33] 首个部署是Gb300 NVL72
[00:21:33 - 00:21:35] 它的连接方式很讲究
[00:21:35 - 00:21:37] 因为英伟达Grace超级芯片
[00:21:37 - 00:21:39] 以PCIE-Z5速度运行
[00:21:39 - 00:21:43] 所以用ZN5x16列路来连接Grace CPU
[00:21:43 - 00:21:45] 然后用ZN6X16列路
[00:21:45 - 00:21:48] 来连接B300 GPU确保高带宽传输
[00:21:48 - 00:21:51] 它还留了一个ZN5x4列路连接SSD
[00:21:51 - 00:21:53] 满足存储访问需求
[00:21:53 - 00:21:57] 另外,英伟达的MGX PCIE交换机版卡
[00:21:57 - 00:21:58] 也用了这款网卡
[00:21:58 - 00:22:00] 这样既能支持博通的交换机芯片
[00:22:01 - 00:22:05] 又能为未来的B300 PCIe GPU提供占6-NIC的高速连接
[00:22:06 - 00:22:07] 兼容性拉满
[00:22:08 - 00:22:09] 为了提升网络效率
[00:22:09 - 00:22:13] Knexba还集成了PSA数据包处理器和数据路径加速器
[00:22:13 - 00:22:14] DPA
[00:22:14 - 00:22:17] DPA是一个RISCV事件处理器
[00:22:18 - 00:22:19] 能够实施处理网络事件
[00:22:20 - 00:22:21] 减少CPU干预
[00:22:21 - 00:22:24] SpectrumX以太网的拥色控制和路由功能
[00:22:25 - 00:22:26] 也能和DPA配合
[00:22:26 - 00:22:28] 进一步降低延迟
[00:22:28 - 00:22:30] 根据英伟达的数据
[00:22:30 - 00:22:34] SpectrumX以太网在训练时间不长和伪不延迟上的表现
[00:22:34 - 00:22:36] 比传统以太网好很多
[00:22:36 - 00:22:39] 能有效提升AI训练的稳定性
[00:22:39 - 00:22:43] 最后我们来看博通Broadcom的Tomahawk Ultra网络芯片
[00:22:43 - 00:22:46] 这款芯片是为高性能计算和AI扩展设计的
[00:22:46 - 00:22:50] 目标是改变以太网不适合高性能工作负载的偏见
[00:22:50 - 00:22:52] 博通的交换机阵容力
[00:22:52 - 00:22:57] Tomahawk 6102.4TBPS吞吐量的专用芯片
[00:22:57 - 00:23:00] 而Tom Halka Ultra则更加侧重平衡性能与成本
[00:23:00 - 00:23:03] 他的Packet转发管线设计很有特点
[00:23:03 - 00:23:05] 支持多项关键功能
[00:23:05 - 00:23:07] 一是链路层重传,Link Layer Retry
[00:23:08 - 00:23:10] 作为以太网前向纠错FEC的补充
[00:23:10 - 00:23:13] 能够提高突发错误或者刺优链路的健壮性
[00:23:13 - 00:23:16] 减少对高延迟的端道端重传的需求
[00:23:16 - 00:23:18] 这对AI训练来说很重要
[00:23:18 - 00:23:21] 因为端道端重传会大幅增加延迟
[00:23:22 - 00:23:24] 二是基于信用的流量控制,CBFC
[00:23:24 - 00:23:30] 确保交换机缓冲区不会溢出,避免丢包,30AI Fabricator。
[00:23:30 - 00:23:32] 它覆盖在以太网MacHead上。
[00:23:32 - 00:23:38] 只保留最有用的字段,技能优化传输效率又能保持完整的以太网Mac兼容性。
[00:23:38 - 00:23:40] 不用改现有设备。
[00:23:40 - 00:23:43] 40网络计算支持集体操作。
[00:23:43 - 00:23:50] 比如AI训练中的AllReduce操作能在交换机层面加速,减少数据在节点间的传输次数。
[00:23:50 - 00:23:59] 另外,Tomahawk Ultra还支持拓铺杆织自适应路由,能够根据网络拓铺动态调整路由,避免某个链路过在。
[00:23:59 - 00:24:05] 雍色控制功能也能确保流量均匀分布,不会出现一条链路堵死,其他链路空闲的情况。
[00:24:05 - 00:24:16] 延迟方面,Tomahawk Ultra所有接口在以64B数据包大小测试的时候,延迟不到250 AS,这个延迟水平已经很接近Infinite Band。
[00:24:16 - 00:24:20] 再加上以太网的成本优势对很多企业来说是性价比之选
[00:24:20 - 00:24:25] 随着芯片性能越来越强
[00:24:25 - 00:24:27] 电iO的瓶颈也越来越明显
[00:24:27 - 00:24:31] 传输速率到一定程度后功耗会急剧上升
[00:24:31 - 00:24:34] 而且传输距离有限还容易受干扰
[00:24:34 - 00:24:36] 光iO的优势就在于此
[00:24:36 - 00:24:41] 速率更高 功耗更低 抗干扰能力强还能传更远的距离
[00:24:41 - 00:24:46] 本界HotTrips上 光iO领域的分享都在探索如何把光技术落地
[00:24:46 - 00:24:49] 从供风桩光学到三地光中界层
[00:24:49 - 00:24:51] 方向很明确
[00:24:51 - 00:24:53] 那就是逐步用光连接来替代电连接
[00:24:53 - 00:24:57] 尤其是在AI芯片和集群互联场景上
[00:24:57 - 00:25:00] 我们先看Slascho AI的Beach Front光结构模组
[00:25:00 - 00:25:03] 他们的思路不是传统供风桩光学
[00:25:03 - 00:25:06] 而是把光连接引入大型GPU
[00:25:06 - 00:25:08] 同时解决风桩和散热问题
[00:25:08 - 00:25:13] 简单来说就是不想把光学元件和GPU硬塞在一个风桩里
[00:25:13 - 00:25:15] 而是用更灵活的模组设计
[00:25:15 - 00:25:19] 让光连接能适配现有GPU的形态,降低部署成本。
[00:25:19 - 00:25:26] Selestial AI参与了台积电武纳米和四纳米的早期创新客户计划,已经完成了四次流片。
[00:25:26 - 00:25:31] 技术成熟度很高,他们目前的重点是带中介层的HBM。
[00:25:31 - 00:25:38] HBM是AI芯片的核心内存,用光连接来优化HBM的数据流,能够直接提升AI计算效率。
[00:25:38 - 00:25:44] 他们的PF Link技术包含一个归光子层,集成了无缘和有缘元件。
[00:25:44 - 00:25:47] 关键是实现了CR代与通道匹配
[00:25:47 - 00:25:49] 从而达到超高能效
[00:25:49 - 00:25:51] 他们还在构建光MAC
[00:25:51 - 00:25:53] 确保光连接的可靠性RAS功能
[00:25:53 - 00:25:55] 避免光链路故障影响系统
[00:25:55 - 00:25:58] Selestial AI还提到了一个关键的观点
[00:25:58 - 00:26:02] 那就是电Fabric与光Fabric的扩展定律不同
[00:26:02 - 00:26:04] 随着多芯片封装尺寸的增大
[00:26:04 - 00:26:08] 电Fabric的带宽会受限于物理接口的数量
[00:26:08 - 00:26:11] 而光Fabric的带宽能持续增长
[00:26:11 - 00:26:13] 因为光可以并行传输更多通道
[00:26:13 - 00:26:15] 且不受电磁干扰
[00:26:15 - 00:26:18] 这意味着未来更大规模的多芯片封装
[00:26:18 - 00:26:20] 光fabric会成为必然的选择
[00:26:20 - 00:26:22] 另外他们还展示了
[00:26:22 - 00:26:24] CoSL芯片组的光学多芯片
[00:26:24 - 00:26:26] 互联桥OIMB
[00:26:26 - 00:26:29] 解决了光学接口的安全问题
[00:26:29 - 00:26:31] 由于光信号很容易被窃听
[00:26:31 - 00:26:34] 所以OIMB能确保光传输的安全性
[00:26:34 - 00:26:38] 这对金融 证物等敏感场景很重要
[00:26:38 - 00:26:41] 在看IR Labs 特别PHY光 L芯片
[00:26:41 - 00:26:45] 他们的目标是用光学技术实现AI系统的横向扩展
[00:26:45 - 00:26:50] 大规模AI系统需要把数百万个芯片连成一个集群
[00:26:50 - 00:26:52] 传输距离从机架内
[00:26:52 - 00:26:55] 大概3米的距离到多机架的15米
[00:26:56 - 00:26:57] 如果用电Io
[00:26:57 - 00:27:00] 每机架的功耗会暴涨根本扛不住
[00:27:00 - 00:27:04] IorLabs解法是采用UCI光Io重定时期
[00:27:05 - 00:27:07] UCI是一种新的芯片互联标准
[00:27:07 - 00:27:11] IorLabs把光Io做成了UCI E-Triplet
[00:27:11 - 00:27:14] 这样就能够轻松集成到AI芯片的封装里
[00:27:14 - 00:27:16] 不用改线有芯片设计
[00:27:16 - 00:27:17] 兼容性很强
[00:27:18 - 00:27:21] 这款UCI Chiplet的速率达到了8TBPS
[00:27:21 - 00:27:23] 能提供大量封装外带宽
[00:27:23 - 00:27:26] 解决AI芯片对外传不动数据的问题
[00:27:26 - 00:27:29] 它的核心创新是节有光信号和电信号
[00:27:30 - 00:27:32] 因为在传统的光连接中
[00:27:32 - 00:27:35] 光信号和电信号的传输路径是绑定的
[00:27:35 - 00:27:36] 一旦其中一个出问题
[00:27:37 - 00:27:38] 整个列录就废了
[00:27:38 - 00:27:40] 而iR Labs的设计里
[00:27:40 - 00:27:46] Ucie接收器会先把电信号重定时,再转换成光信号传输,这样光电解偶。
[00:27:46 - 00:27:50] 各自的优化空间更大,也更容易排查故障。
[00:27:50 - 00:27:55] Irlabs的TerraPHY芯片已经进入设计验证测试阶段,即将亮产。
[00:27:55 - 00:27:59] 而且他们还做了长期链路的稳定性测试,比如热循环测试。
[00:27:59 - 00:28:03] 由于芯片的加热和冷却,会导致材料膨胀收缩。
[00:28:03 - 00:28:06] 改变光在通道中的传播方式。
[00:28:06 - 00:28:08] Irlabs通过优化封装材料,
[00:28:08 - 00:28:12] 确保光链路在热寻环下仍能稳定传输
[00:28:12 - 00:28:15] 他们还展示了一个共风庄的500瓦设备
[00:28:15 - 00:28:18] 证明光一欧能适配高功率AI芯片的散热需求
[00:28:19 - 00:28:21] 不再是只能跑低功耗的场景
[00:28:22 - 00:28:25] 而Light Matter公司则提出了3D光中界层的概念
[00:28:26 - 00:28:28] 推出了Passage M1000平台
[00:28:28 - 00:28:32] 它的核心是在光中界层上风庄计算和内存芯片
[00:28:32 - 00:28:34] 用3D堆叠实现紧凑结构
[00:28:35 - 00:28:36] 同时提供超高带宽
[00:28:36 - 00:28:41] 现在芯片互联的一大痛点是,芯片外围的物理区域有限。
[00:28:41 - 00:28:47] IO接口数量上不去,要想实现100倍以上的带宽,就必须改变现有范氏。
[00:28:47 - 00:28:50] 而3D光中界层就是这个新范氏。
[00:28:50 - 00:28:54] TAS-HM1000的预期速率高达114TBPS。
[00:28:54 - 00:29:01] 按照Line Matter的说法,这是卖向200TBPSXPO和400TBPS交换机的第一步。
[00:29:01 - 00:29:04] 而且已经做好了生产准备。
[00:29:04 - 00:29:10] 设计上,他们解决了一个关键问题,也就是光学元件与电CR-D的物理尺寸匹配问题。
[00:29:11 - 00:29:13] 光元件通常要比电CR-D小。
[00:29:13 - 00:29:19] 直接集成会浪费空间,Light Matter用规规环鞋震器来调节光信号。
[00:29:19 - 00:29:24] 实现了非常紧凑的光IO,让光学元件和电CR-D的尺寸刚好匹配。
[00:29:25 - 00:29:29] 不浪费封装空间,为什么要选择规规环鞋震器呢?
[00:29:29 - 00:29:31] Light Matter解释了三个原因。
[00:29:31 - 00:29:35] 一是尺寸小,能在有限的空间里集成更多的通道。
[00:29:35 - 00:29:39] 二是功耗低,调节光信号不需要太多能量。
[00:29:39 - 00:29:44] 三是响应速度快,能跟上AI芯片的高频数据传输需求。
[00:29:44 - 00:29:50] 他们还打造了光引擎,like matter guide,负责光信号的生成、传输和接收、
[00:29:50 - 00:29:53] passage ME千还具有一定的可重构性。
[00:29:53 - 00:29:56] 能够根据不同工作负载来调整光链路。
[00:29:56 - 00:30:01] 灵活性很强,另外,他们的tile设计有16条水平总线。
[00:30:01 - 00:30:04] 通过十字型金属奉献,实现电器连接。
[00:30:04 - 00:30:09] 光路交换功能还能提供荣誉,这样哪怕一条光链路坏了,
[00:30:09 - 00:30:12] 其他链路还能工作,提升了可靠性。
[00:30:12 - 00:30:15] 最后我们来看看英伟达的光埃尧创新,
[00:30:15 - 00:30:20] 他们的重点是跨区域扩展,推出了Spectrum XGS以太网技术。
[00:30:20 - 00:30:25] 目标是把多个分布式数据中心组合成一个十亿瓦解AI超级工厂。
[00:30:25 - 00:30:30] 这意味着不仅需要硬件支持,还需要距离感知算法。
[00:30:30 - 00:30:34] 因为不同数据中心之间的距离可能有几十、上百公里
[00:30:34 - 00:30:36] 光信号传输会有延迟
[00:30:36 - 00:30:40] 所以这个算法需要根据距离动态调整数据的传输策略
[00:30:40 - 00:30:41] 确保整体性能
[00:30:41 - 00:30:45] 根据英伟达的数据用SpectrumXGS技术
[00:30:45 - 00:30:48] 多占点NCCL的横向扩展性能
[00:30:48 - 00:30:50] 是传统OTS以太网的1.9倍
[00:30:50 - 00:30:53] 能大幅加速多GPU和多节点的通信
[00:30:53 - 00:30:57] 让AI训练不再受单个数据中心的资源限制
[00:30:57 - 00:31:02] 硬件方面,英伟达推出了200G CRD供风桩光学技术。
[00:31:02 - 00:31:06] 由于传统的可插拔光学引擎,需要额外的电力和空间。
[00:31:06 - 00:31:13] 而供风桩光学直接把光学元件和交换机芯片封在一起,不用额外供电,能够节省大量的电力。
[00:31:13 - 00:31:16] 还有NVIDIA Fortnex 归光CPU芯片。
[00:31:16 - 00:31:18] 速率达到了1.6T。
[00:31:18 - 00:31:22] 采用了新型微环调制器,进一步提升了能效。
[00:31:22 - 00:31:27] 英伟达的Spectrum 6102T集成归光交换机也很有亮点
[00:31:27 - 00:31:31] 实现了翻倍的吞吐量,更高的可靠性和更低的功耗
[00:31:31 - 00:31:34] 搭配之前的Spectrum Max和Quantum Max交换机
[00:31:34 - 00:31:37] 形成了完整的光网络产品线
[00:31:37 - 00:31:40] 而且他们透露即将推出CPU网络交换机
[00:31:40 - 00:31:44] 由于供封装技术是未来光网络的主流方向
[00:31:44 - 00:31:48] 所以英伟达的布局显然是想抢占这个赛道的先机
[00:31:48 - 00:31:54] CPU现在面临的最大挑战就是模尔定律触点
[00:31:54 - 00:31:56] 晶体管密度的提升速度越来越慢
[00:31:56 - 00:31:59] 单芯片性能很难再像以前那样
[00:31:59 - 00:32:01] 每18个月翻一翻
[00:32:01 - 00:32:04] 本件Hot Chips上CPU领域的分享有个共识
[00:32:04 - 00:32:07] 那就是要靠先进制成加Chiplet
[00:32:07 - 00:32:10] 加3D堆叠来突破性能瓶颈
[00:32:10 - 00:32:12] 把不同功能的芯片裸片
[00:32:12 - 00:32:15] 用先进封装技术集成在一起
[00:32:15 - 00:32:16] 这样既能提升性能
[00:32:16 - 00:32:18] 又能控制成本和功耗
[00:32:18 - 00:32:20] 还能提高粮率
[00:32:20 - 00:32:22] 我们先来看英特尔的下一代
[00:32:22 - 00:32:24] 在智强处理器 Clearwater Forest
[00:32:25 - 00:32:27] 这款处理器有288盒
[00:32:27 - 00:32:30] 用的是Intel 18A制程和3D封装技术
[00:32:31 - 00:32:35] 核心思路是用3D堆叠来提升缓存和内存带宽
[00:32:35 - 00:32:37] 它的Chiplet设计很精细
[00:32:38 - 00:32:40] 12个能效和CPU Chiplet
[00:32:40 - 00:32:41] 采用了Intel 18A工艺
[00:32:42 - 00:32:43] 3个基础Chiplet
[00:32:43 - 00:32:45] 采用Intel 3工艺
[00:32:45 - 00:32:46] 2个i鞋杠O Chiplet
[00:32:47 - 00:32:49] 也用了上一代 Sierra Forest的Intel 7工艺
[00:32:49 - 00:33:07] 芯片兼用EMIB连接,简单解释一下,EMIB也叫嵌入式多芯片互联桥,是英特尔的一项成熟封装技术,能够提供高带宽,低延迟的chiplet互联,缓存方面, Clearwater Forest的墨集缓存,LLC达到了1152MB。
[00:33:07 - 00:33:17] 意味着每个插槽有576MB的LLC。具体到芯片上,每个144盒的Tile有108MB的LLC。
[00:33:17 - 00:33:23] 两个tile就是216兆,再加上其他缓存,总缓存容量非常大。
[00:33:23 - 00:33:27] 大缓存的好处是可以减少内存的访问次数。
[00:33:27 - 00:33:31] CPU不用频繁去内存里读数据,延迟会大幅降低。
[00:33:31 - 00:33:34] 这对AI推理,数据库等场景很有好。
[00:33:34 - 00:33:39] 前端设计上,clear water forest通过三个三外的指令解码器。
[00:33:39 - 00:33:42] 把指令宽度提升了50%。
[00:33:42 - 00:33:47] 简单来说就是一次能读取更多指令,提升指令的执行效率。
[00:33:47 - 00:33:49] 分支预测器也做了优化
[00:33:49 - 00:33:52] 能够更准确的预测程序下一步要执行的指令
[00:33:52 - 00:33:55] 减少预测错误带来的性能损失
[00:33:55 - 00:33:58] 后端的乱续执行引擎也升级了
[00:33:58 - 00:34:01] 从每时钟周期能调度5个操作
[00:34:01 - 00:34:02] 提升到8个操作
[00:34:02 - 00:34:05] 执航端口数量增加到26个
[00:34:05 - 00:34:08] 整数和项量执行能力都翻了一倍
[00:34:08 - 00:34:11] 这意味着CPU能够同时处理更多任务
[00:34:11 - 00:34:14] 多线程性能会有明显提升
[00:34:14 - 00:34:16] 内存子系统也有改进
[00:34:16 - 00:34:19] L2未命中缓冲区的大小翻倍
[00:34:19 - 00:34:21] 能存储128个未命中数据
[00:34:21 - 00:34:23] 以前缓冲区满了
[00:34:23 - 00:34:25] CPU就要等现在能存更多了
[00:34:25 - 00:34:28] 等待的时间就相应减少了
[00:34:28 - 00:34:31] 单个Clearwater Forest模块有4个核心
[00:34:31 - 00:34:34] 共享4兆的统一L2缓存
[00:34:34 - 00:34:36] L2缓存的带宽也比上一代翻倍
[00:34:36 - 00:34:38] 达到400GB每秒
[00:34:38 - 00:34:40] 双插槽系统中
[00:34:40 - 00:34:43] 每个芯片有12个DDR5 8000内存通道
[00:34:43 - 00:34:46] 总内存带宽达到1300GB每秒
[00:34:46 - 00:34:49] 能够满足大规模数据处理的需求
[00:34:49 - 00:34:50] 根据英特尔的数据
[00:34:50 - 00:34:52] Clearwater Forest机架的美瓦性能
[00:34:52 - 00:34:55] 是上一代Caero Forest的3.5倍
[00:34:55 - 00:34:57] 能效提升非常明显
[00:34:57 - 00:35:00] 我们再来看IBM的Power11处理器
[00:35:00 - 00:35:03] 这款处理器用的是三星7nm工艺
[00:35:03 - 00:35:06] 设计理念是按需增加核心数
[00:35:06 - 00:35:07] 不盲目堆核心
[00:35:07 - 00:35:10] 而是根据实际的需求来优化架构
[00:35:10 - 00:35:12] 他们计划在后代Power处理器中
[00:35:12 - 00:35:13] 聚焦几个重点
[00:35:13 - 00:35:17] 一是每个插槽上集成的归片数是上一代的三倍
[00:35:17 - 00:35:19] 二是利用粮率协同效应
[00:35:19 - 00:35:22] 三是保持跨TripLite的高带宽连接
[00:35:22 - 00:35:24] 四是优化OMI内存的效率
[00:35:24 - 00:35:26] 五是减少延迟
[00:35:26 - 00:35:27] 提升突破协同性
[00:35:27 - 00:35:31] 六是保证长期发展的效率和灵活性
[00:35:31 - 00:35:34] Power11的核心升级在于内存子系统
[00:35:34 - 00:35:37] IBM称之为OMI内存架构
[00:35:37 - 00:35:39] 这是一种分层内存架构
[00:35:39 - 00:35:43] 一块芯片最多可以支持32个DDR5内存端口
[00:35:43 - 00:35:46] 传输速度最高可达38.4Gbps
[00:35:47 - 00:35:49] 最终会推出定制化的内存规格
[00:35:49 - 00:35:50] OMI-DDM
[00:35:51 - 00:35:53] IBM对HBM并不是很看好
[00:35:53 - 00:35:55] 因为HBM的容量较低
[00:35:55 - 00:35:57] 满足不了大规模数据处理的需求
[00:35:58 - 00:36:00] 他们的目标是8TBDRM
[00:36:00 - 00:36:02] 和1TB每秒以上的内存带宽
[00:36:02 - 00:36:05] 而OMI架构基于DDR5内存
[00:36:05 - 00:36:06] 就能实现这个目标
[00:36:07 - 00:36:09] 成本比HBM要低很多
[00:36:09 - 00:36:11] 不过OMI也有个小缺点
[00:36:11 - 00:36:15] 那就是缓冲区会增加6-8NS的延迟
[00:36:15 - 00:36:18] 但是 IBM认为这个延迟在可接受的范围内
[00:36:18 - 00:36:21] 而且换来的容量和带宽优势更值得
[00:36:21 - 00:36:25] 另外 Power11还优化了对外部PCIE加速器的支持
[00:36:25 - 00:36:28] IBM有自己的SPIRE加速器
[00:36:28 - 00:36:31] 能够和Power11配合提升AI计算性能
[00:36:31 - 00:36:33] 比如在机器学习场景中
[00:36:33 - 00:36:36] SPIRE加速器能够卸载Power11的计算任务
[00:36:36 - 00:36:38] 让CPU专注于数据调度
[00:36:38 - 00:36:40] 整体性能提升明显
[00:36:40 - 00:36:42] 精心科技的子公司Condor Computing
[00:36:42 - 00:36:47] 他们展示了首款高性能RISCV CPU IP,Cusco
[00:36:47 - 00:36:50] 这款产品由一支仅有50名工程师的团队完成
[00:36:50 - 00:36:52] 却实现了很高的性能
[00:36:52 - 00:36:56] 据介绍,与其他有相近功耗的高性能授权CPU相比
[00:36:56 - 00:36:58] Cusco的性能更加出色
[00:36:58 - 00:37:00] Cusco的优势很明确
[00:37:00 - 00:37:02] 一是降低了成本
[00:37:02 - 00:37:04] RISCV是开源架构
[00:37:04 - 00:37:05] 不用交授权费
[00:37:05 - 00:37:06] 二是提高了能效
[00:37:06 - 00:37:09] 针对低功耗场景做了优化
[00:37:09 - 00:37:15] 30 扩展性强,每个集群有8个高性能计算 CPU 核心能按需扩展核心数量。
[00:37:16 - 00:37:23] 40 兼容性好,符合面向高性能 RISCV 计算的最新 RVA-23 规范,软件生态能复用,
[00:37:23 - 00:37:31] 5 式灵活定制,完全支持指令及架构 ISA 的定制,能够根据客户需求添加特殊指令。
[00:37:31 - 00:37:37] Cusco 的设计和多数高性能处理器类似提供了完整的IP方案。
[00:37:37 - 00:37:41] 除了CPU核心以外,还有缓存和遗志性管理功能,
[00:37:41 - 00:37:43] 能直接进入内存和Io总线。
[00:37:43 - 00:37:46] 客户不用再做额外的基层开发。
[00:37:46 - 00:37:49] 它的核心创新是基于时间的威架构。
[00:37:49 - 00:37:52] 传统乱续执行CPU需要复杂的调度逻辑。
[00:37:52 - 00:37:58] 经体管多、功耗高,而Cusco 用硬件编译来进行指令排序。
[00:37:58 - 00:38:01] 通过既存期级分版和时间资源矩阵TRM
[00:38:02 - 00:38:04] 精确预测指令的执行时间
[00:38:04 - 00:38:06] 提前安排好执行顺序
[00:38:06 - 00:38:07] 这种设计的好处是
[00:38:07 - 00:38:10] 调度的确定性降低了逻辑复杂性
[00:38:10 - 00:38:13] 消除了复杂的运行时每周期调度
[00:38:13 - 00:38:15] 减少了动态功率
[00:38:15 - 00:38:18] 用更少的经体管实现了更高的能效
[00:38:18 - 00:38:21] Cusco采用基于Slyce的CPU设计
[00:38:21 - 00:38:23] 最多支持8个核心
[00:38:23 - 00:38:25] 每个核心有私有的L2缓存
[00:38:25 - 00:38:27] 多个核心共小L3缓存
[00:38:27 - 00:38:31] 这种分层缓存设计能平衡延迟和容量
[00:38:31 - 00:38:33] 根据Counter Computing的数据
[00:38:33 - 00:38:36] Cusco在SP-SINT 2006测试中
[00:38:36 - 00:38:41] 美食中周期的性能几乎是精心科技当前AX65核心的两倍
[00:38:41 - 00:38:45] 证明了这款RISCVCPU的高性能潜力
[00:38:45 - 00:38:49] 最后看日本Pazze Computing公司的第四代MAMD多核处理器
[00:38:49 - 00:38:51] Pazze SCS
[00:38:51 - 00:38:54] 采用了多指令多数据MEMD的架构
[00:38:54 - 00:38:58] 特点是每个处理器核心能够执行不同的指令
[00:38:58 - 00:38:59] 处理不同的数据
[00:38:59 - 00:39:02] 适合具有高度独立现成的应用程序
[00:39:02 - 00:39:06] 比如科学计算、基因组分析等等
[00:39:06 - 00:39:09] PESY认为对这类应用来说
[00:39:09 - 00:39:13] MIMD比单指令多数据SIMD更加有效
[00:39:13 - 00:39:16] 因为能够充分利用现成的独立性
[00:39:16 - 00:39:20] PEZYS-C4S采用的是台积电5nm非NVT工艺
[00:39:20 - 00:39:24] 芯片尺寸为18.4毫米乘30.2毫米
[00:39:24 - 00:39:26] 总共大约556平方毫米
[00:39:27 - 00:39:29] 集成了48亿颗晶体管
[00:39:29 - 00:39:31] SRAM容量唯1.6GB
[00:39:31 - 00:39:35] 内部总线的独带宽达到了12TB每秒
[00:39:35 - 00:39:37] 写带宽达到6TB每秒
[00:39:37 - 00:39:39] 能满足大规模数据传输需求
[00:39:39 - 00:39:41] 它的计算资源很丰富
[00:39:41 - 00:39:43] 有2048个处理单元PE
[00:39:44 - 00:39:46] 支持16384个现成
[00:39:46 - 00:39:49] 还有PE和缓存的分层缓存
[00:39:49 - 00:39:51] 能够减少数据访问延迟
[00:39:51 - 00:39:52] 提升现成病情效率
[00:39:53 - 00:39:54] 外部内存方面
[00:39:54 - 00:39:58] PZY-C4S 採用了 HBM3 有四个设备
[00:39:58 - 00:40:02] 带宽达到 3.2 TB 每秒 容量达到 96GB
[00:40:02 - 00:40:05] 外部接口是 PCIe 阵物 有 16个Link
[00:40:05 - 00:40:10] 带宽达到 64GB 每秒 能够快速连接主机和其他设备
[00:40:10 - 00:40:15] 系统部署上 PZY 设计了主机 CPU 加 PZY-S4S 的节点
[00:40:15 - 00:40:19] 每个节点包含一张 AMD PYC 955 PCPU
[00:40:19 - 00:40:23] 四张 PZY-S4S 和 NDR InfiniBand 网卡
[00:40:24 - 00:40:27] 规划的系统配置有90个节点
[00:40:27 - 00:40:30] 总共73万7,280个配
[00:40:30 - 00:40:33] 双经度下风值算力达到8.6flops
[00:40:33 - 00:40:36] 这个算力能够满足大型科学计算的需求
[00:40:36 - 00:40:39] 比如7号模拟、量子化学等
[00:40:39 - 00:40:43] PZY还对PZYSC4S做了访真测试
[00:40:43 - 00:40:47] 在执行双经度通用矩阵惩罚DGEMM的工作负载时
[00:40:47 - 00:40:49] 功率效率是上一代的两倍以上
[00:40:49 - 00:40:53] 在基因组序列比对算法Smith Waterman测试中
[00:40:53 - 00:40:56] 性能可以达到359GC UPS
[00:40:56 - 00:40:58] 是上一代PESY SC3的3.86倍
[00:40:58 - 00:41:01] 也侧面证明了MIMD架构
[00:41:01 - 00:41:03] 在特定场景下的性能优势
[00:41:03 - 00:41:03] 另外
[00:41:03 - 00:41:07] PSY还在开发第五代PSY SC5
[00:41:07 - 00:41:09] 计划采用3nm或者更小工艺
[00:41:09 - 00:41:11] 预计2027年发布
[00:41:11 - 00:41:13] 他们还在开发一种新的硬件描述语言
[00:41:13 - 00:41:14] VARO
[00:41:15 - 00:41:17] 作为System Relog的开源替代方案
[00:41:18 - 00:41:20] PESY SC5的核心组件
[00:41:20 - 00:41:21] 也会用VARO开发
[00:41:21 - 00:41:23] 目标是降低芯片设计门槛
[00:41:26 - 00:41:28] 图形领域现在的趋势很明确
[00:41:28 - 00:41:31] 那就是要用AI来提升渲染效率
[00:41:31 - 00:41:33] 不管是游戏、创作
[00:41:33 - 00:41:35] 还是ARV2都需要更逼真的画面
[00:41:36 - 00:41:38] 但是传统的渲染方式功耗高
[00:41:38 - 00:41:39] 速度慢
[00:41:39 - 00:41:41] AI的加入能大幅优化这个过程
[00:41:42 - 00:41:43] 本件Hotchips上
[00:41:43 - 00:41:46] AMD和英伟达两大GPU巨头
[00:41:46 - 00:41:48] 都分享了图形架构的优化
[00:41:48 - 00:41:49] 尤其强调对光线追踪
[00:41:49 - 00:41:52] AI性能和神经渲染的支持
[00:41:52 - 00:41:55] Meta则带来了AI眼镜专用芯片的设计
