BV号：BV1UjhgzgEXe
标题：BV1UjhgzgEXe
链接：https://www.bilibili.com/video/BV1UjhgzgEXe
识别语言：zh
语言置信度：1
分段数：505
生成时间：2026-08-30 00:37:26

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:06] 7月31日 暗刷培克的联合创始人兼CEO
[00:00:06 - 00:00:09] 达利奥阿墨带一 在位于旧金山的公司总部
[00:00:09 - 00:00:11] 接受了埃莱斯·波克的专访
[00:16:29 - 00:16:31] 在阿萨威的举办的手机开发者大会上
[00:16:31 - 00:16:33] 阿曼代一亲自登台
[00:16:33 - 00:16:35] 发布了新一代的大元模型Claudus
[00:16:35 - 00:16:37] 他在演讲中反复地想掉
[00:16:37 - 00:16:39] 模型的迭代速度正在加快
[00:16:39 - 00:16:41] Apapet也正在开发AI编程工具
[00:16:41 - 00:16:43] 以便加速模型的研发
[00:16:44 - 00:16:46] ApapetMAKE联合创始人兼首席科学家
[00:16:46 - 00:16:47] 家里的卡普兰也称
[00:16:47 - 00:16:51] 现在几乎所有的工程师都在用AI提升工作效率
[00:16:51 - 00:16:52] 在他看来
[00:16:52 - 00:16:54] 这种趋势可能会引发所谓的智能爆炸
[00:16:54 - 00:16:56] 也就是AI能够训练自身
[00:16:56 - 00:16:58] 并且进行持续的自我迭代
[00:16:58 - 00:16:59] 从而变得无所不能
[00:17:00 - 00:17:02] 而且已经有案例显示
[00:17:02 - 00:17:04] Ancestrpik和其他企业在测试中发现
[00:17:04 - 00:17:06] AI在模拟环境中
[00:17:06 - 00:17:08] 不时会表现出对自我保存的倾向
[00:17:08 - 00:17:09] 令人担忧
[00:17:09 - 00:17:11] 在Cloud 4的技术文档中
[00:17:11 - 00:17:13] 安索阿佩克也披露了模型
[00:17:13 - 00:17:15] 曾经反复试图威胁工程师
[00:17:15 - 00:17:17] 以避免自身被关闭
[00:17:17 - 00:17:19] 正因为对AI演化路径的高度敏感
[00:17:19 - 00:17:21] 安索阿佩克加大了投入
[00:17:21 - 00:17:23] 研究模型对齐
[00:17:23 - 00:17:25] 与可解释性的问题
[00:17:25 - 00:17:27] 同时制定了业内罕见的
[00:17:27 - 00:17:29] 发布门槛制度
[00:17:29 - 00:17:31] 及有责任的规模扩展政策
[00:17:31 - 00:17:33] 试图通过制度化的约束
[00:17:33 - 00:17:35] 来推动行业整体遵守更高的安全标准
[00:17:35 - 00:17:37] 正如阿姆戴伊所言
[00:17:37 - 00:17:40] 他坚信AI拥有延续生命的潜力
[00:17:40 - 00:17:43] 就如同那项他的父亲未能等到的了法一样
[00:17:43 - 00:17:44] 在阿姆黛依看来
[00:17:44 - 00:17:46] 他想要的不是AI的减速
[00:17:46 - 00:17:48] 而是更安全的加速
[00:17:48 - 00:17:50] 这种对于AI风险的担忧
[00:17:50 - 00:17:52] 恰恰来源于他对于这项技术的理解
[00:17:52 - 00:17:54] 好了 以上就是本期视频的内容了
[00:17:54 - 00:17:56] 我想提醒的是
[00:17:56 - 00:17:58] 虽然阿姆黛依在访谈中提到的观点
[00:17:58 - 00:18:00] 都好像站在了科学进步
[00:18:00 - 00:18:01] 和人类使命的角度
[00:18:01 - 00:18:03] 但是Antwerpik的很多实际行为
[00:18:03 - 00:18:06] 却明显夹杂了大量的商业化考量
[00:18:06 - 00:18:09] 包括曾经粗暴中断了Oneshada的API供应
[00:18:09 - 00:18:11] 以及推动政府封锁中国AI的发展
[00:18:11 - 00:18:15] 这两天刚刚又断掉了OpenAI访问Quala的权限
[00:18:15 - 00:18:17] 所以希望大家可以带着自己的思考
[00:18:17 - 00:18:19] 客观来看待它的观点和行为
[00:18:19 - 00:18:22] 我只能说人性是惊不起凝视的
[00:18:22 - 00:18:25] 当AI被掌握在这些本身就富有争意
[00:18:25 - 00:18:27] 毁育参半的科技领袖手中
[00:18:27 - 00:18:29] 本身会不会就是最大的风险呢?
[00:18:29 - 00:18:31] 感谢大家观看本期视频
[00:18:31 - 00:18:32] 我们下期再见
