BV号：BV1tjT5zWETX
标题：BV1tjT5zWETX
链接：https://www.bilibili.com/video/BV1tjT5zWETX
识别语言：zh
语言置信度：1
分段数：600
生成时间：2026-08-30 03:16:45

[00:00:00 - 00:00:05] 大家好,我是為什麼叫QQ,最近人類簡史的作者尤爾-赫拉利
[00:17:06 - 00:17:09] 原因在于一种新的技术介入了人类之间
[00:17:09 - 00:17:11] 现在大多数人类的交流
[00:17:11 - 00:17:13] 都要通过一个非人类的中介
[00:17:13 - 00:17:15] 这在世界上造成了混乱
[00:17:15 - 00:17:17] 但是要重建信任
[00:17:17 - 00:17:18] 我们不能简单地说
[00:17:18 - 00:17:20] 扔掉所有的智能手机和电脑
[00:17:20 - 00:17:24] 而是需要重新学习如何在信息技术的调解下
[00:17:24 - 00:17:26] 在广大民众之间建立信任
[00:17:26 - 00:17:27] 介于悠二的新书
[00:17:27 - 00:17:30] Nexus的日文版刚刚推出
[00:17:30 - 00:17:33] 伊藤也顺势询问了悠二对自美国领导幻界以来
[00:17:33 - 00:17:35] 全球局势发展的看法
[00:17:35 - 00:17:37] 悠二表示自己充满忧虑
[00:17:37 - 00:17:38] 他指出
[00:17:38 - 00:17:42] 由于社会内部以及社会之间信任的加速侵蚀
[00:17:42 - 00:17:45] 我们看到二战后建立的国际秩序正在瓦解
[00:17:45 - 00:17:47] 这个国际秩序最重要的竞技和规则是
[00:17:47 - 00:17:50] 强国不能随意的入侵和征服弱国
[00:17:50 - 00:17:54] 这与此前数千年的人类历史形成了鲜明对比
[00:17:54 - 00:17:56] 二十一世纪初
[00:17:56 - 00:17:58] 人类享受了历史上最和平与繁荣的时代
[00:17:58 - 00:18:02] 很大程度上是因为这个竞技得到了维持
[00:18:02 - 00:18:05] 这一点从政府预算中最能清晰的反映出来
[00:18:05 - 00:18:06] 纵观历史长河
[00:18:06 - 00:18:10] 绝大多数国王、幕府将军和皇帝的预算中
[00:18:10 - 00:18:13] 超过百分之五十都是用于军事方面的
[00:18:13 - 00:18:14] 而在二十一世纪初
[00:18:14 - 00:18:19] 全球政府军事之初的平均水平降到了大约6%或7%
[00:18:19 - 00:18:22] 而大约10%的预算用于医疗保健
[00:18:22 - 00:18:23] 这是人类历史上第一次
[00:18:23 - 00:18:27] 全球各国政府在医疗上的投入超过军事
[00:18:27 - 00:18:29] 然而如今这个趋势正在逆转
[00:18:29 - 00:18:32] 现在如果弱者拒绝服从强者
[00:18:32 - 00:18:34] 那么由此引发的冲突
[00:18:34 - 00:18:35] 责任在于弱者
[00:18:35 - 00:18:37] 这种逻辑随处可见
[00:18:37 - 00:18:39] 比如美国曾经扬言要征服格林兰岛
[00:18:39 - 00:18:41] 尤娃尔警告说
[00:18:41 - 00:18:45] 这种世界观和逻辑将把全人类带回持续战争的状态
[00:18:45 - 00:18:46] 在这种情况下
[00:18:46 - 00:18:48] 不仅医疗和教育预算会下降
[00:18:48 - 00:18:51] 任何监管AI的机会也将不复存在
[00:18:51 - 00:18:52] 因为每个国家都会说
[00:18:52 - 00:18:54] 我们必须赢得AI竞赛
[00:18:54 - 00:18:57] 我们不会做任何可能让我们放慢脚步的事情
[00:18:57 - 00:18:59] 以免对方获胜
[00:18:59 - 00:19:00] 然后他们成为强者
[00:19:00 - 00:19:02] 我们就必须服从他们
[00:19:02 - 00:19:03] 在问答环节
[00:19:03 - 00:19:05] 有两个问题我觉得很有意思
[00:19:05 - 00:19:06] 特意挑了出来
[00:19:06 - 00:19:10] 一个是社交媒体上的虚假新闻和信息操纵问题
[00:19:10 - 00:19:13] 有观众询问如何在保障言论自由的同时
[00:19:13 - 00:19:14] 规范信息传播
[00:19:14 - 00:19:17] 特别是在算法主导信息分发的背景下
[00:19:17 - 00:19:19] 如何确保信息的质量与可信度
[00:19:19 - 00:19:22] 由我二对此进行了精确的区分
[00:19:22 - 00:19:24] 我们需要区分讲话的自由
[00:19:24 - 00:19:25] freedom of speech
[00:19:25 - 00:19:26] 和信息的自由
[00:19:26 - 00:19:27] freedom of information
[00:19:27 - 00:19:28] 它强调
[00:19:28 - 00:19:31] 讲话是赋予人类的一项非常重要的权利
[00:19:31 - 00:19:33] 应该受到保护
[00:19:33 - 00:19:34] 然而
[00:19:34 - 00:19:36] 信息自由则完全不同
[00:19:36 - 00:19:37] 这是一项新的权利
[00:19:37 - 00:19:39] 它并非赋予人类
[00:19:39 - 00:19:42] 而是赋予了AI、算法和机器人
[00:19:42 - 00:19:45] 许多社交媒体巨头有意混淆这两项权利
[00:19:45 - 00:19:47] 社交媒体的问题不在于人类编造谎言
[00:19:47 - 00:19:50] 因为人类数千年来一直在编造谎言
[00:19:50 - 00:19:53] 除非极端情况,他们不应因此受罚
[00:19:53 - 00:19:56] 真正的问题在于,平台有一个算法
[00:19:56 - 00:19:59] 它决定故意传播谎言、仇恨等等
[00:19:59 - 00:20:01] 这应该被制止,并且应该受到惩罚
[00:20:01 - 00:20:03] 由阿尔再次明确
[00:20:03 - 00:20:06] 如果一个YouTube用户制作了一个虚假新闻视频
[00:20:06 - 00:20:08] 它不应该因此受到惩罚
[00:20:08 - 00:20:15] 但是,如果我是这家公司,我故意向数百万人推荐和播放这个充满仇恨的阴谋论视频。
[00:20:15 - 00:20:22] 因为我能从中赚钱,这就应该受到惩罚,这种行为不受言论自由的保护,因为这是由算法完成的。
[00:20:22 - 00:20:34] 而算法没有人权,他们没有传播谎言的权利,所以社交媒体公司有责任,就像报纸和电视台一样,在传播任何内容之前,确保其真实性,而非充满仇恨的谎言。
[00:20:34 - 00:20:37] 另一个问题是关于AI对战争形态的影响
[00:20:37 - 00:20:41] 由我而指出,信息技术的发展并不会废除物理世界
[00:20:41 - 00:20:44] 而是在旗帜上构建了新的层面
[00:20:44 - 00:20:47] 数千年来人类创造的各种信息,无论是法律宪法
[00:20:47 - 00:20:52] 宗教还是金钱,都没有取代或者废除物理和生物现实
[00:20:52 - 00:20:55] 人们仍然拥有身体,需要食物和清洁的水
[00:20:55 - 00:20:59] 但是这些额外的信息层,使得人类能够创造贸易网络等事物
[00:20:59 - 00:21:01] 从而改变了获取食物的方式
[00:21:01 - 00:21:04] AI对战争的影响也与此类似
[00:21:04 - 00:21:06] 战争的本质仍然是杀伤
[00:21:06 - 00:21:07] 但是实现方式正在改变
[00:21:07 - 00:21:10] 目前看来杀戮仍然是由人类执行的
[00:21:10 - 00:21:14] 但是AI已经真正改变的是谁在选择目标
[00:21:14 - 00:21:17] 谁在做决策谁决定轰炸这座建筑
[00:21:17 - 00:21:20] 谁决定轰炸这个人由我而指出答案越来越多的
[00:21:20 - 00:21:24] 指向AI并且在过去两三年间表现的尤为明显
[00:21:24 - 00:21:27] 以前识别目标的工作是由人类情报官员来完成的
[00:21:27 - 00:21:32] 他们收集信息阅读报告可能需要几天才能确定一个目标
[00:21:32 - 00:21:35] 但是现在,AI可以在几秒钟内完成这项工作
[00:21:35 - 00:21:37] AI能够处理的海量信息
[00:21:37 - 00:21:38] 远超任何人类的分析能力
[00:21:38 - 00:21:41] 它能发现人类无法察觉的模式
[00:21:41 - 00:21:43] 并且在几秒钟内指出
[00:21:43 - 00:21:45] 这是敌方的总部,轰炸它
[00:21:45 - 00:21:48] 当然,最大的问题还是在于我们能否相信AI的判断
[00:21:48 - 00:21:50] 它是否可能犯错
[00:21:50 - 00:21:53] 只是我们轰炸一个民用而非军事建筑
[00:21:53 - 00:21:56] 由我而从不同的人那里听到了不同的说法
[00:21:56 - 00:21:58] 一些人说,在AI指出目标后
[00:21:58 - 00:22:01] 会有人类分析师附和所有的信息
[00:22:01 - 00:22:02] 以确保没有错误
[00:22:02 - 00:22:04] 而另一些人则表示
[00:22:04 - 00:22:07] 人类分析师可能只会花半分钟的时间
[00:22:07 - 00:22:09] 根本无法真正核查AI的判断
[00:22:09 - 00:22:11] 因为AI处理的数据点太多
[00:22:11 - 00:22:14] 人类的复合基本上只是走个行事
[00:22:14 - 00:22:15] 真正做决策的是AI
[00:22:15 - 00:22:18] 虽然目前这两种情况可能都有
[00:22:18 - 00:22:19] 但是展望未来五到十年
[00:22:19 - 00:22:21] 趋势是非常清晰的
[00:22:21 - 00:22:23] 那就是AI将在战争中越来越多的
[00:22:23 - 00:22:25] 做出关键决策
[00:22:25 - 00:22:27] 这无疑是一个非常危险的发展
[00:22:27 - 00:22:28] 在活动的尾声
[00:22:28 - 00:22:32] 由瓦尔对当天的讨论和问答进行了总结
[00:22:32 - 00:22:32] 他坦诚
[00:22:32 - 00:22:35] 我们讨论的许多议题听起来令人忧虑
[00:22:35 - 00:22:38] 这是因为那些开发AI的公司
[00:22:38 - 00:22:40] 往往只强调了AI的积极潜力
[00:22:40 - 00:22:41] 因此需要哲学家
[00:22:41 - 00:22:44] 历史学家和批评家来指出潜在的威胁
[00:22:44 - 00:22:45] 寻求平衡
[00:22:45 - 00:22:46] 问题的关键
[00:22:46 - 00:22:48] 不在于如何阻止AI的发展
[00:22:48 - 00:22:51] 而是我们希望能够以安全的方式来发展它
[00:22:51 - 00:22:53] 而实现这个目标的关键
[00:22:53 - 00:22:56] 再次回到了如何在人类之间建立信任的问题上来
[00:22:56 - 00:22:58] 谈到这个核心主题
[00:22:58 - 00:23:00] 尤瓦尔分享了一个自己的思考
[00:23:00 - 00:23:02] 信任确实是生命的基础
[00:23:02 - 00:23:05] 如果你不信任他人,不信任外界
[00:23:05 - 00:23:06] 你连一分钟都活不下去
[00:23:06 - 00:23:08] 即便是我们賴以生存的呼吸
[00:23:08 - 00:23:10] 这个维持生命的最简单动作
[00:23:10 - 00:23:13] 他的本质也是对我们身外之物的信任
[00:23:13 - 00:23:16] 正是这种信任的吸入与呼出维持着我们的生命
[00:23:16 - 00:23:20] 所以说,即使这个世界上存在巨大的问题
[00:23:20 - 00:23:21] 但是归根结底
[00:23:21 - 00:23:22] 生命的基石是信任
[00:23:22 - 00:23:23] 好了
[00:23:23 - 00:23:26] 以上就是尤瓦尔赫拉利这次讲做的主要内容了
[00:23:26 - 00:23:29] 希望能给大家带来一些启发和思考
[00:23:29 - 00:23:30] 感谢大家的观看
[00:23:30 - 00:23:31] 我们下期再见
