BV号：BV1nXXUYjEE3
标题：BV1nXXUYjEE3
链接：https://www.bilibili.com/video/BV1nXXUYjEE3
识别语言：zh
语言置信度：1
分段数：517
生成时间：2026-08-30 12:12:21

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近 知名播客20vc的主播
[00:00:05 - 00:00:08] 访谈了Snowflake的CEO 斯里达尔 拉马斯瓦米
[00:00:08 - 00:00:12] 讨论了AI竞争格局 发展趋势和企业管理等方面的很多话题
[00:00:12 - 00:00:15] Snowflake应该不用我过都介绍了
[00:14:57 - 00:14:58] 而2000年代初
[00:14:58 - 00:15:00] 那些做杂货配送服务的公司
[00:15:00 - 00:15:01] 烧了大量的资金
[00:15:01 - 00:15:02] 直到15年后
[00:15:02 - 00:15:03] Instagram出现
[00:15:03 - 00:15:06] 才逐渐找到了合适的商业模式
[00:15:06 - 00:15:07] 对于当前的AI投资
[00:15:07 - 00:15:09] 现在还很难判断
[00:15:09 - 00:15:11] 它是一个好泡沫还是一个坏泡沫
[00:15:11 - 00:15:12] 如果大部分投资
[00:15:12 - 00:15:14] 流向了电力和基础设施等领域
[00:15:14 - 00:15:16] 那么可能会为世界创造更多的价值
[00:15:16 - 00:15:18] 但是如果流向快速貶值的硬件
[00:15:18 - 00:15:20] 價值可能會瞬間消失
[00:15:20 - 00:15:23] 不過我們還是能夠從創新的角度找到機會
[00:15:23 - 00:15:26] OPI不可能涵蓋所有的工作流程
[00:15:26 - 00:15:28] 就像HARI這樣的垂直領域公司
[00:15:28 - 00:15:31] 還是有可能在市場中找到自己的立足之地的
[00:15:31 - 00:15:33] 不會被巨頭輕易的顛覆
[00:15:33 - 00:15:35] 找到這些立即市場並且進行投資
[00:15:35 - 00:15:37] 或許就是成功的關鍵
[00:15:37 - 00:15:39] 從更加宏觀的角度來看
[00:15:39 - 00:15:42] 未來5到7年後模型的發展會是什麼樣呢?
[00:15:42 - 00:15:44] 是充滿許多專業化和垂直化的模型
[00:15:44 - 00:15:46] 还是会出现更少
[00:15:46 - 00:15:47] 但是更为通用
[00:15:47 - 00:15:48] 而且非常大的模型呢
[00:15:48 - 00:15:51] 拉马斯玛米结合谷歌的经历来分析
[00:15:51 - 00:15:53] 谷歌搜索能够占据主导地位
[00:15:53 - 00:15:55] 不仅仅是因为产品好
[00:15:55 - 00:15:56] 还得益于一系列的商业策略
[00:15:56 - 00:15:57] 谷歌与雅虎
[00:15:57 - 00:15:59] 美国在线等达成合作
[00:15:59 - 00:16:01] 成为了他们的默认搜索引擎
[00:16:01 - 00:16:04] 与PC制造商FairFox等等也有合作
[00:16:04 - 00:16:06] 通过这些合作获得了大量的用户
[00:16:06 - 00:16:08] 虽然用户获取的成本很高
[00:16:08 - 00:16:10] 但是建立了宝贵的用户基础
[00:16:10 - 00:16:13] 同时谷歌将图像搜索等等功能
[00:16:14 - 00:16:17] 通过通用搜索的策略征服了各个垂直领域
[00:16:17 - 00:16:19] 对于AI领域来说
[00:16:19 - 00:16:19] 在消费端
[00:16:19 - 00:16:22] 他认为chatgbt正在成为一个类似的入口点
[00:16:22 - 00:16:24] 如果打赌的话
[00:16:24 - 00:16:26] 他会压住在消费端模型的遍体和专业化
[00:16:26 - 00:16:30] 最终会倾向于像chatgbt和open eye这样的巨头
[00:16:30 - 00:16:32] 但是在企业端情况不太一样
[00:16:32 - 00:16:34] 过去50年企业领域
[00:16:34 - 00:16:36] 没有出现像谷歌这样的单一巨头
[00:16:36 - 00:16:37] 所以他认为企业端
[00:16:37 - 00:16:40] 更可能出现各种各样的专业化模型
[00:16:40 - 00:16:43] 不太可能有一个单一的入口点来统治一切
[00:16:43 - 00:16:46] 好了 以上就是拉马斯瓦米这次访谈的主要内容了
[00:16:46 - 00:16:48] 后面还有一段快问快答的环节
[00:16:48 - 00:16:50] 大家有兴趣可以去看原视频
[00:16:50 - 00:16:51] 感谢大家的观看
[00:16:51 - 00:16:52] 我们下期再见
