BV号：BV1j59KB1E4s
标题：BV1j59KB1E4s
链接：https://www.bilibili.com/video/BV1j59KB1E4s
识别语言：zh
语言置信度：1
分段数：557
生成时间：2026-08-29 07:29:08

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 原码里藏着一套完整的操作系统设计
[00:16:58 - 00:17:00] 区别在于现在所有的AI产品
[00:17:00 - 00:17:02] 设计的起点都是工具
[00:17:02 - 00:17:03] 用户有需求
[00:17:03 - 00:17:05] 工具满足需求交互结束
[00:17:05 - 00:17:07] 但这些功能告诉我们
[00:17:07 - 00:17:08] Anthropic在设计的
[00:17:08 - 00:17:10] 是一个完全不同的东西
[00:17:10 - 00:17:11] 一个有生命周期的
[00:17:11 - 00:17:14] 有主动性的能自我进化的AI系统
[00:17:14 - 00:17:18] 这两种设计哲学会导向完全不同的产品形态
[00:17:18 - 00:17:20] 工具思维的AI永远是被动的
[00:17:20 - 00:17:22] 永远需要用户主动触发
[00:17:22 - 00:17:26] 生态思维的AI是主动的是持续运行的
[00:17:26 - 00:17:29] 是能在你不注意的时候默默工作的
[00:17:29 - 00:17:32] 这个转变比任何单一功能的改进都更加深刻
[00:17:32 - 00:17:36] 这里我想提炼一个可以附用的思维框架
[00:17:36 - 00:17:38] 我把它叫做AI Base四层架构
[00:17:38 - 00:17:39] 第一层
[00:17:39 - 00:17:41] 记忆层持久化状态管理
[00:17:41 - 00:17:43] 没有记忆,AI就是无状态的工具
[00:17:43 - 00:17:45] 每次对话都从零开始
[00:17:45 - 00:17:47] Carols和Autodream是这一层的核心
[00:17:47 - 00:17:50] 第二层,执行层,主动任务执行
[00:17:50 - 00:17:54] AI不只是回答问题,还能主动规划和执行任务
[00:17:54 - 00:17:57] Ultraplan和DemonMode是这一层的核心
[00:17:57 - 00:18:00] 第三层,协作层,多Agent的协同工作
[00:18:00 - 00:18:02] 单个模型的能力有上限
[00:18:02 - 00:18:05] 多个专门化Agent的协作可以突破这个上限
[00:18:05 - 00:18:08] CoronatorMode和UDS Inbox是这一层的核心
[00:18:08 - 00:18:11] 第四层,安全层全线管理和审计
[00:18:11 - 00:18:14] AI系统越强大,安全边界就越重要
[00:18:14 - 00:18:18] 邮楼分类器和bridge mode的审计机制是这层的核心
[00:18:18 - 00:18:20] 这四层架构不止是用于Cloud
[00:18:20 - 00:18:23] 它是未来所有AI base软件的通用设计范试
[00:18:23 - 00:18:26] 展望未来我想说三个观点
[00:18:26 - 00:18:30] 观点1,AI软件的形态会从应用变成环境
[00:18:30 - 00:18:32] 现在我们用AI是打开一个应用
[00:18:32 - 00:18:34] 输入问题得到答案,关闭应用
[00:18:34 - 00:18:37] 未来的AI会像操作系统一样
[00:18:37 - 00:18:39] 无处不在,它在后台运行
[00:18:39 - 00:18:42] 感知你的上下文在你需要的时候主动出现
[00:18:42 - 00:18:45] 在你不需要的时候安静退场
[00:18:45 - 00:18:47] Dimmo Mode和Carols是这个未来的出行
[00:18:47 - 00:18:48] 观点2
[00:18:48 - 00:18:51] AGI的落地路径不是一个超级模型
[00:18:51 - 00:18:53] 而是多Agent的生态
[00:18:53 - 00:18:55] 很多人期待的AGI
[00:18:55 - 00:18:58] 是一个无所不知无所不能的单一模型
[00:18:58 - 00:19:00] 但从Cloud原码透露的设计方向来看
[00:19:00 - 00:19:05] 更可能的路径是一个协调层加上数百个专门化的Agent
[00:19:05 - 00:19:08] 每个Agent在自己的领域做到极致
[00:19:08 - 00:19:10] 然后通过协调层协同工作
[00:19:10 - 00:19:12] 共同完成复杂任务
[00:19:12 - 00:19:14] 这个架构比单一超级模型更可靠
[00:19:14 - 00:19:16] 更可解释也更容易迭代
[00:19:16 - 00:19:18] 观点3 AI的竞争
[00:19:18 - 00:19:21] 会从模型能力转向系统架构
[00:19:21 - 00:19:23] 现在大家比的是谁的模型更聪明
[00:19:23 - 00:19:26] 谁的参数更多 谁的Bunchmark更高
[00:19:26 - 00:19:29] 但当基础模型能力趋于同志化之后
[00:19:29 - 00:19:31] 真正的竞争会发生在系统层面
[00:19:31 - 00:19:33] 谁的记忆管理更好
[00:19:33 - 00:19:35] 谁的多Agent的协调更高效
[00:19:35 - 00:19:37] 谁的安全机制更完善
[00:19:37 - 00:19:38] Cloud Code这次泄露的原码
[00:19:38 - 00:19:40] 恰恰是在这个层面上
[00:19:40 - 00:19:42] 展示了Anthropic的技术积累
[00:19:42 - 00:19:44] 好 今天我们把Cloud Code
[00:19:44 - 00:19:47] 原码里藏的八个未发布功能
[00:19:47 - 00:19:49] 从技术细节到产品逻辑
[00:19:49 - 00:19:50] 全部拆解了一遍
[00:19:50 - 00:19:51] 一句话总结
[00:19:51 - 00:19:54] 未来的AI不是更聪明的工具
[00:19:54 - 00:19:56] 而是有记忆有主动性能协作的
[00:19:56 - 00:19:57] 智能生态系统
[00:19:57 - 00:20:00] 我想在评论区问大家两个问题
[00:20:00 - 00:20:01] 第一个问题
[00:20:01 - 00:20:02] 你觉得AI有了持久记忆
[00:20:02 - 00:20:04] 和主动执行能力之后
[00:20:04 - 00:20:06] 最大的风险是什么
[00:20:06 - 00:20:08] 是效率提升带来的就业冲击
[00:20:08 - 00:20:10] 还是隐私边界的魔火
[00:20:10 - 00:20:11] 第二个问题
[00:20:11 - 00:20:13] 如果你是一个AI创业者
[00:20:13 - 00:20:14] 看完今天这期视频
[00:20:14 - 00:20:16] 你会优先实现这8个功能里的哪一个
[00:20:16 - 00:20:17] 为什么
[00:20:17 - 00:20:19] 欢迎把你的想法打在评论区
[00:20:19 - 00:20:21] 我会挑最有深度的留言
[00:20:21 - 00:20:23] 下期视频直接回复你
[00:20:23 - 00:20:24] 感谢大家观看
[00:20:24 - 00:20:25] 觉得内容有料
[00:20:25 - 00:20:27] 别忘了一键三连支持下
[00:20:27 - 00:20:28] 为什么叫QQ
[00:20:28 - 00:20:29] 我们下期见
