BV号：BV1U2kHBUEze
标题：BV1U2kHBUEze
链接：https://www.bilibili.com/video/BV1U2kHBUEze
识别语言：zh
语言置信度：1
分段数：428
生成时间：2026-08-29 21:49:44

[00:00:00 - 00:00:02] 大家好 我是為什麼叫QQ
[00:00:02 - 00:00:07] 2025年12月1日 張曉俊對話Manus創始人記憶超
[00:00:07 - 00:00:11] 但僅僅28天後 Meta就已經30億美元的天價
[00:00:11 - 00:00:12] 閃電收購了這家公司
[00:18:56 - 00:18:59] 飞轮和对场景的深刻理解
[00:18:59 - 00:19:01] 建立起不输于模型公司的壁垒
[00:19:01 - 00:19:04] 他也告诉我们,有时候想清楚不做什么,
[00:19:04 - 00:19:06] 远比决定做什么,更加重要,
[00:19:06 - 00:19:09] 从高中开发浏览器,到Magic的探索,
[00:19:09 - 00:19:11] 到AI浏览器的果断放弃,
[00:19:11 - 00:19:16] 再到Manus的横空出示,最终被全球科技巨头收入囊中。
[00:19:16 - 00:19:18] 这不是一个一番丰顺的天才故事,
[00:19:18 - 00:19:21] 而是一个在不断示错,观察,
[00:19:21 - 00:19:24] 反思中,螺旋上升的进化之路。
[00:19:24 - 00:19:28] 如果您觉得有收获,欢迎点赞,关注,转发。
[00:19:28 - 00:19:30] 我是为什么叫QQ,我们下期再见。
